25-03-21 16:42:32.393 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - Starting JournalAppApplication using Java 21.0.5 with PID 1517196 (/home/harshaldalvi/Desktop/journalApp/target/classes started by harshaldalvi in /home/harshaldalvi/Desktop/journalApp) 
25-03-21 16:42:32.399 [restartedMain] INFO  c.m.journalApp.JournalAppApplication - No active profile set, falling back to 1 default profile: "default" 
25-03-21 16:42:32.441 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
25-03-21 16:42:32.442 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
25-03-21 16:42:32.895 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-03-21 16:42:32.938 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 40 ms. Found 3 MongoDB repository interfaces. 
25-03-21 16:42:33.240 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http) 
25-03-21 16:42:33.247 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"] 
25-03-21 16:42:33.248 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat] 
25-03-21 16:42:33.248 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34] 
25-03-21 16:42:33.265 [restartedMain] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring embedded WebApplicationContext 
25-03-21 16:42:33.266 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 824 ms 
